id	name	reactions
OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch) I	GLU6PDEHYDROG-RXN|RXN-9952|6PGLUCONOLACT-RXN
PWY-7173	quercetin triglucoside biosynthesis	RXN-14000|RXN-14001|RXN1F-462
PWY-6401	hispidol and hispidol 4'-O-beta-D-glucoside biosynthesis	RXN-16236|RXN-16235|RXN-16234|RXN-16233|RXN-16232|RXN-8010|RXN-11086|RXN-11087|RXN-11084|RXN-11085|RXN-11083
PWY-5642	2,4-dinitrotoluene degradation	RXN-17165|1.2.1.27-RXN|RXN-8824|RXN-8823|RXN-8822|RXN-8821|RXN-8820
PWY-1901	aurone biosynthesis	RXN-8456|RXN-8011|RXN-8455|RXN-8454|RXN-8453|RXN-8012|RXN-8008|RXN-6242|RXN-3102
PWY-7681	1-chloro-2-nitrobenzene degradation	RXN-16792
PWY-6239	luteolin glycosides biosynthesis	RXN-13801|FLAVONE-7-O-BETA-GLUCOSYLTRANSFERASE-RXN|RXN-5004
PWY-7796	pentose phosphate pathway (oxidative branch) II	R10-RXN|R12-RXN
PWY-7189	pinocembrin C-glucosylation	RXN-14085|RXN-14088|RXN-14087|RXN-14084|RXN-14083
PWY-5637	nitrobenzene degradation I	RXN-18437|RXN-18436|5.4.4.1-RXN
PWY-7298	nevadensin biosynthesis	RXN-14657|RXN-14656|RXN-14635|RXN-14639|RXN-14655
PWY-5645	4-chloronitrobenzene degradation	RXN-18438|RXN-10381|RXN-10245|RXN-10246|RXN-8838|RXN-8837|RXN-8836|RXN-8835|RXN-8834
PWY-8340	isoorientin biosynthesis II	RXN-9081
PWY-5640	nitrobenzene degradation II	RXN-3661
PWY-5793	maysin biosynthesis	RXN-9085|RXN-9082
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	RIB5PISOM-RXN|RIBULP3EPIM-RXN|1TRANSKETO-RXN|2TRANSKETO-RXN|TRANSALDOL-RXN
PWY-6024	isovitexin glycosides biosynthesis	RXN-16846|RXN-16845|RXN-16840|RXN-16839|RXN-16838|ISOVITEXIN-BETA-GLUCOSYLTRANSFERASE-RXN|RXN-9717|RXN-9716|RXN-9715|RXN-9714
PWY-6051	2,4,6-trinitrotoluene degradation	RXN-9752|RXN-9751|RXN-9750|RXN-9749|RXN-9748|RXN-9747|RXN-9746|RXN-9745|RXN-9744|RXN-9743|RXN-9742|RXN-9741
PWY-7188	orientin and isoorientin biosynthesis I	RXN-14079|RXN-14082|RXN-14081|RXN-14078|RXN-14077
PWY-5641	2-nitrotoluene degradation	RXN-8819|2-OH-6-OXOHEPTA-2-4-DIENOATE-HYDR-RXN|CATECHOL-2-3-DIOXYGENASE-RXN
PWY-7213	wogonin metabolism	RXN-14239|RXN-14062|RXN-14060
PWY-5643	2,6-dinitrotoluene degradation	RXN-8827|RXN-8826|RXN-8825
PWY-7444	luteolin triglucuronide biosynthesis	LUTEOLIN-7-O-GLUCORONOSYLTRANSFERASE-RXN|2.4.1.191-RXN|2.4.1.190-RXN
PWY-5644	4-nitrotoluene degradation II	RXN-12735|RXN-14412|RXN-8842|RXN-8841|RXN-8840|RXN-8832|RXN-8829|RXN-8831|RXN-8828
PWY-5119	acacetin biosynthesis	APIGENIN-4-O-METHYLTRANSFERASE-RXN
P421-PWY	4-nitrotoluene degradation I	R363-RXN|R362-RXN|R361-RXN
PWY-6015	vitexin and derivatives biosynthesis	RXN-4981|VITEXIN-BETA-GLUCOSYLTRANSFERASE-RXN|RXN-9705|RXN-9704
PWY-7161	polymethylated quercetin biosynthesis	2.1.1.82-RXN|RXN-13932|RXN-13934|RXN-13933|RXN-13906|RXN-13930|QUERCETIN-3-O-METHYLTRANSFERASE-RXN|RXN-13929|RXN-8262
PWY-7212	baicalein metabolism	RXN-14238|RXN-11760|RXN-11755|RXN-14237
PWY-7325	salvigenin biosynthesis	RXN-15530|RXN-15529|RXN-15528|RXN-7650|RXN-14748|RXN-14752|RXN-14751|RXN-14750|RXN-14661
PWY-5060	luteolin biosynthesis	RXN66-587|RXN-7687|RXN-7686|RXN-7653|RXN-7652|RXN-7650
PWY-6010	apigenin glycosides biosynthesis	RXN-13800|RXN-5021|FLAVONE-APIOSYLTRANSFERASE-RXN|RXN-9699|RXN-9700
PWY1F-823	leucopelargonidin and leucocyanidin biosynthesis	RXN-7775|RXN-525|DIHYDROKAEMPFEROL-4-REDUCTASE-RXN|RXN-600
PWY-5152	leucodelphinidin biosynthesis	RXN-13718|RXN-525|RXN-7784|RXN-7922|RXN-7921
PWY-641	proanthocyanidins biosynthesis from flavanols	RXN-18349|RXN-18348|RXN-17699|RXN-17698|RXN-10691|RXN-10692|RXN-10693
PWY-7464	cyanidin 3,7-diglucoside polyacylation biosynthesis	RXN-15374|RXN-15373|RXN-15372
PWY-7252	luteolinidin 5-O-glucoside biosynthesis	RXN-14424|RXN-14423|RXN-14422
PWY-7259	pelargonidin diglucoside biosynthesis (acyl-glucose dependent)	RXN-14447|RXN-14440|RXN-14439
PWY-5153	anthocyanin biosynthesis (delphinidin 3-O-glucoside)	RXN-7785|RXN-7815
PWY-7262	rose anthocyanin biosynthesis II (via cyanidin 3-O-beta-D-glucoside)	RXN-8169|RXN1F-775
PWY-5284	shisonin biosynthesis	RXN-8205|RXN-8204|RXN-8171|RXN-8170|RXN-8169
PWY-7449	acylated cyanidin galactoside biosynthesis	RXN-15323|RXN-15322|RXN-13962|RXN-15321|RXN-13974|RXN-13960
PWY-5307	gentiodelphin biosynthesis	RXN-8235|RXN-8234|RXN-8233|RXN-8232|RXN-8231|RXN-8228
PWY-7458	violdelphin biosynthesis	RXN-15354|RXN-15353|RXN-15352|RXN-15351|RXN-15350
PWY-7256	cyanidin diglucoside biosynthesis (acyl-glucose dependent)	RXN-14446|RXN-14436|RXN-14435|RXN-14434|RXN-13969|RXN-14432|RXN-13967|RXN-13970
PWY-5139	pelargonidin conjugates biosynthesis	RXN-7998|RXN-7997|RXN-7832|RXN-7834|RXN-7830|RXN-7828
PWY-5268	salvianin biosynthesis	RXN-8139|2.3.1.172-RXN|RXN-8140|RXN-7997|RXN-8138|RXN-7828
PWY-7280	ternatin C3 biosynthesis	RXN-14496
PWY-5295	ternatin C5 biosynthesis	RXN-8209|RXN-8208|RXN-8206
PWY-7452	cyanidin dimalonylglucoside biosynthesis	RXN-15336|RXN-15335
PWY-7253	apigeninidin 5-O-glucoside biosynthesis	RXN-14427|RXN-14426|RXN-14425
PWY-5125	anthocyanin biosynthesis	RXN-18349|RXN-18348|2.4.1.115-RXN
PWY-7260	delphinidin diglucoside biosynthesis (acyl-glucose dependent)	RXN-14448|RXN-14442|RXN-14441
PWY-5160	rose anthocyanin biosynthesis I (via cyanidin 5-O-beta-D-glucoside)	RXN-8006|RXN-8005
PWY-7267	anthocyanin biosynthesis (pelargonidin 3-O-glucoside)	RXN-18352|PELUDP-RXN|LEUCPEL-RXN
PWY-7450	anthocyanidin modification (Arabidopsis)	RXN-15333|RXN-15332|RXN-15331|RXN-15330|RXN-15329|RXN-15328|RXN-15327|RXN-15326|RXN1F-775
PWY-5105	hesperitin glycoside biosynthesis	RXN-7760|RXN-7759|RXN-7755|RXN-7754
PWY-6602	naringenin C-glucosylation	RXN-18753|RXN-11685|RXN-14076|RXN-14069|RXN-11686|RXN-11684
PWY-5094	naringenin glycoside biosynthesis	RXN-7732|RXN-5002|RXN-5381
PWY-5118	ponciretin biosynthesis	RXN-7777
PWY-5477	gallotannin biosynthesis	RXN-8727|RXN-8726|RXN-8725|RXN-8724|RXN-8723|RXN-8722|RXN-8721
PWY-5476	cornusiin E biosynthesis	RXN-8720|RXN-8719
PWY-7629	yatein biosynthesis II	RXN-16342|RXN-16343|RXN-16341|RXN-16340
PWY-7748	yatein biosynthesis I	RXN-17348|RXN-17347|RXN-16361|RXN-16360
PWY-5530	sorbitol biosynthesis II	GLUCONOKIN-RXN|GLUCONOLACT-RXN|1.1.99.28-RXN
PWY-8373	erythritol biosynthesis II	RXN-23190|RXN-23191
PWY-8372	erythritol biosynthesis I	RXN-23188|RXN-23189
PWY-8078	quebrachitol biosynthesis	RXN-20799|MYO-INOSITOL-3-O-METHYLTRANSFERASE-RXN
PWY-2301	myo-inositol biosynthesis	MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN|MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN
PWY-6366	D-myo-inositol (1,4,5,6)-tetrakisphosphate biosynthesis	RXN-7162|RXN-10945|2.7.1.133-RXN|2.7.1.140-RXN
PWY-6351	D-myo-inositol (1,4,5)-trisphosphate biosynthesis	3.1.4.11-RXN|2.7.1.149-RXN|2.7.8.11-RXN|1-PHOSPHATIDYLINOSITOL-KINASE-RXN|2.7.1.68-RXN
PWY-6624	salicylate glucosides biosynthesis III	RXN-11659
PWY-6365	D-myo-inositol (3,4,5,6)-tetrakisphosphate biosynthesis	2.7.1.134-RXN|2.7.1.133-RXN|2.7.1.140-RXN|RXN-10955
PWY-6369	inositol diphosphates biosynthesis	RXN-10974|RXN-10972|RXN-7163|RXN-4941|2.7.4.24-RXN|2.7.1.152-RXN
PWY-5338	galactosylcyclitol biosynthesis	RXN-8279|RXN-8278|RXN-8277|RXN-8281
PWY-6364	D-myo-inositol (1,3,4)-trisphosphate biosynthesis	3.1.3.62-RXN|RXN-8730|2.7.1.127-RXN
PWY-6623	salicylate glucosides biosynthesis II	RXN-11705|RXN-10446
PWY-6762	salicylate glucosides biosynthesis IV	RXN-11658
PWY-6690	cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate	RXN-10040|RXN-12071|RXN-12070|RXN-12073|RXN-12072
HCAMHPDEG-PWY	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	HCAMULTI-RXN|PHENPRODIOLDEHYDROG-RXN|MHPHYDROXY-RXN|1.13.11.16-RXN|MHPCHYDROL-RXN
PWY-6080	4-ethylphenol degradation (anaerobic)	RXN-11246|OHBENZCOARED-RXN|RXN-9832|RXN-9831|RXN-9833|RXN-9834
PWY-8162	phenylethanol degradation	RXN-21540|PHENDEHYD-RXN
PWY-6071	superpathway of phenylethylamine degradation	RXN-2425|RXN-10819|RXNMETA-12672|RXNMETA-12671|RXN0-6510|RXN0-6512|RXN0-2042|RXN0-2044|RXN-3641|RXN-10817|PHENDEHYD-RXN
PWY-7757	bisphenol A degradation	4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN|RXN-9832|RXN-17423|RXN-17422|RXN-17421
PWY-7777	isoprene degradation	RXN-17596|RXN-17591|RXN-17592|RXN-17593|RXN-17594|RXN-17595
P281-PWY	3-phenylpropanoate degradation	RXN-2003|RXN-2002|RXN-2006|R246-RXN|1.14.13.58-RXN|R242-RXN|R241-RXN|RXN-10445|MALEYLPYRUVATE-ISOMERASE-RXN|GENTISATE-12-DIOXYGENASE-RXN
PWY-7776	ethene and chloroethene degradation	RXN-17587|RXN-17590|RXN-17586|RXN-17585|RXN-17583|RXN-17582|RXN-17581|RXN-17580
PWY-5534	propene degradation	RXN-8806|1.14.13.69-RXN|RXN-8805|4.2.99.19-RXN|1.1.1.268-RXN|1.1.1.269-RXN|1.8.1.5-RXN
PWY-7778	2-methylpropene degradation	RXN-17588|RXN-17589|RXN-17602|RXN-17603|RXN-17606|RXN-17605|RXN-11662|ACETYL-COA-ACETYLTRANSFER-RXN
PWY-7627	2,4,6-trinitrophenol and 2,4-dinitrophenol degradation	RXN-16311|RXN-16310|RXN-16309|RXN-16308|RXN-16305|RXN-16304|RXN-16306
PWY-5372	carbon tetrachloride degradation II	1.2.7.4-RXN|FORMATE-DEHYDROGENASE-NADP+-RXN|RXN-8408|RXN-8407|RXN-8406|RXN-8401
PWY-5370	carbon tetrachloride degradation I	R525-RXN|RXN-8410|R527-RXN|R526-RXN
PWY-6102	5-chloro-3-methyl-catechol degradation	RXN-9904|RXN-17091|RXN-9905|RXN-9902
PWY-6197	chlorinated phenols degradation	RXN-10127|RXN-10129|RXN-10128|RXN-10125
PWY-7512	3,5,6-trichloro-2-pyridinol degradation	RXN-20730|RXN-20729|RXN-20728|RXN-20727|RXN-20726|RXN-15576
PWY-6738	pinitol biosynthesis I	RXN-20892|2.1.1.129-RXN|RXN-12208
PWY-6086	4-chloro-2-methylphenoxyacetate degradation	RXN-9866|RXN-9864
PWY-6739	pinitol biosynthesis II	RXN-12209|D-PINITOL-DEHYDROGENASE-RXN|SEQUOYITOL-DEHYDROGENASE-RXN
PWY-6178	2,4,6-trichlorophenol degradation	RXN-20723|RXN-20724|RXN-20721|RXN-20722|RXN-18362|MALEYLACETATE-REDUCTASE-RXN|CHLOROMALERED-RXN|RXN-10075
PWY-6362	1D-myo-inositol hexakisphosphate biosynthesis II (mammalian)	RXN-8730|2.7.1.127-RXN|RXN-7163|2.7.1.133-RXN|2.7.1.140-RXN
PWY-7496	linuron degradation	RXN-15527|RXN-15526
PWY-6361	1D-myo-inositol hexakisphosphate biosynthesis I (from Ins(1,4,5)P3)	RXN-7184|2.7.1.127-RXN|2.7.1.151-RXN|RXN-7162|RXN-7163
PWY4FS-12	VTC2 cycle	RXN-7772|RXN4FS-12
PWY-6554	1D-myo-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)	2.7.1.140-RXN|2.7.1.133-RXN|2.7.1.139-RXN|RXN-7184|RXN-7163
PWY-7130	L-glucose degradation	DEHYDDEOXPHOSGALACT-ALDOL-RXN|DEHYDDEOXGALACTKIN-RXN|RXN-13775|RXN-13774|RXN-13773|RXN-13772|RXN-13771
PWY-4661	1D-myo-inositol hexakisphosphate biosynthesis III (Spirodela polyrrhiza)	MYO-INOSITOL-1-KINASE-RXN|RXN-7202|MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN|2.7.1.134-RXN|RXN-7203|RXN-7204|RXN-7163
DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)	RXN0-6373|GLUCONOLACT-RXN|GLUCONATE-2-DEHYDROGENASE-RXN|1.1.1.43-RXN|DEHYDOGLUCONOKINASE-RXN
PWY-6372	1D-myo-inositol hexakisphosphate biosynthesis IV (Dictyostelium)	2.7.1.140-RXN|RXN-10982|RXN-10983|RXN-10984|MYO-INOSITOL-1-KINASE-RXN|MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN|RXN-7163
PWY-7459	kojibiose degradation	BETA-PHOSPHOGLUCOMUTASE-RXN|2.4.1.230-RXN
PWY-6427	rot-2'-enonate biosynthesis	RXN-3762|RXN-9058|RXN-9057|RXN-9056|RXN-9054|RXN-9053|RXN-9052
PWY-8324	D-tagatose degradation	RXN-22448|TRANS-RXN-416|TAGAALDOL-RXN
PWY-6425	rotenoid biosynthesis II	RXN-11208|RXN-11207|RXN-11206|RXN-9061
MALTOSECAT-PWY	maltose degradation	BETA-PHOSPHOGLUCOMUTASE-RXN|MALTOSE-PHOSPHORYLASE-RXN
PWY-5775	rotenoid biosynthesis I	RXN-9062|RXN-9064|RXN-9063|RXN-9061|RXN-9060|RXN-9059
PWY0-1309	chitobiose degradation	RXN0-7392|RXN0-7391
PWY-7771	butachlor degradation	RXN-17546|RXN-17542|DHLBXANAU-RXN|RXN-17540|RXN-17539|RXN-17538
PWY-3861	mannitol degradation II	RXN-14500|1.1.1.255-RXN|MANNKIN-RXN|MANNPISOM-RXN
PWY-6200	2,4,5-trichlorophenoxyacetate degradation	RXN-10137|RXN-12313|RXN-12312|RXN-10133|RXN-10134|RXN-10135|RXN-10136|1.6.5.7-RXN|MALEYLACETATE-REDUCTASE-RXN
PWY0-44	D-allose degradation	ALLOSE-KINASE-RXN|RXN0-304|RXN0-303
PWY-6107	chlorosalicylate degradation	RXN-9914|RXN-9869|MALEYLACETATE-REDUCTASE-RXN|RXN-9892|RXN-9870|RXN-9912|RXN-9913
PWY-6778	laminaribiose degradation	LAMINARIBIOSE-PHOSPHORYLASE-RXN
PWY-6085	2,4-dichlorophenoxyacetate degradation	RXN-9863|24-DICHLOROPHENOL-6-MONOOXYGENASE-RXN
RIBOKIN-PWY	ribose phosphorylation	RXN0-5304|RIBOKIN-RXN
PWY-7823	chlorzoxazone degradation	RXN-18090|RXN-18091
PWY-7077	N-acetyl-D-galactosamine degradation	TAGAALDOL-RXN|TAGAKIN-RXN|RXN-13548|3.5.1.80-RXN|RXN-13547
PWY-6081	1,3-dichlorobenzene degradation	RXN-9854|RXN-9853
PWY-7395	D-galactosamine and N-acetyl-D-galactosamine degradation	TAGAALDOL-RXN|TAGAKIN-RXN|RXN-13548|3.5.1.80-RXN
PWY-6099	1,2,4,5-tetrachlorobenzene degradation	RXN-9876|RXN-9875
PWY-8121	2-deoxy-D-glucose 6-phosphate degradation	3.1.3.68-RXN|RXN-18514|RXN-18513|KDUD-RXN
PWY-5188	tetrapyrrole biosynthesis I (from glutamate)	GLURS-RXN|GLUTRNAREDUCT-RXN|GSAAMINOTRANS-RXN|PORPHOBILSYNTH-RXN|OHMETHYLBILANESYN-RXN|UROGENIIISYN-RXN
LYXMET-PWY	L-lyxose degradation	RIBULPEPIM-RXN|LXULRU5P-RXN|LYXK-RXN|LYXISOM-RXN
PWY-5189	tetrapyrrole biosynthesis II (from glycine)	UROGENIIISYN-RXN|OHMETHYLBILANESYN-RXN|PORPHOBILSYNTH-RXN|5-AMINOLEVULINIC-ACID-SYNTHASE-RXN
PWY0-1301	melibiose degradation	ALPHAGALACTOSID-RXN
PWY-6083	chlorobenzene degradation	RXN-9859|RXN-9858
